Date,Day_name,Open,Gap_Point,Gap_Point(%),Open_Gap_Type,Remarks,Gap_Fill_Point,Gap_Fill_Point%,Low,High,Day_Range,Close,Day_Range(%)
2021-05-21,Friday,33600.15,154.5,0.46,"MEDIUM GAP UP","NOT FILL",-10.25,-6.64,33589.9,34855,1265.1,34763.15,3.64
2021-05-20,Thursday,33779,-21.8,-0.06,"FLAT DOWN","GAP FILL UP",134.75,619.54,33387,33913.75,526.75,33445.7,1.57
2021-05-19,Wednesday,33810,-235.2,-0.69,"MEDIUM GAP DOWN","GAP FILL UP",220,93.54,33655,34030,375,33800.75,1.11
2021-05-18,Tuesday,33944.75,395.9,1.18,"BIG GAP UP","NOT FILL",-143.7,-36.3,33801.05,34244,442.95,34045.2,1.3
2021-05-17,Monday,32452,186.8,0.58,"MEDIUM GAP UP","NOT FILL",-85.95,-46.01,32366.05,33605.15,1239.1,33548.85,3.69
2021-05-14,Friday,32500.05,-20.2,-0.06,"FLAT DOWN","GAP FILL UP",198.6,980.74,32184,32698.65,514.65,32265.2,1.6
2021-05-12,Wednesday,32775,-177.5,-0.54,"MEDIUM GAP DOWN","NOT FILL",42,23.66,32423.05,32817,393.95,32520.3,1.21
2021-05-11,Tuesday,32755,-547.7,-1.64,"BIG GAP DOWN","GAP FILL UP",533.95,97.5,32700,33288.95,588.95,32952.5,1.79
2021-05-10,Monday,33250,211.6,0.64,"MEDIUM GAP UP","NOT FILL",-85,-40.17,33165,33500,335,33302.65,1.01
2021-05-07,Friday,33203.35,249.6,0.76,"BIG GAP UP","NOT FILL",-341.65,-136.88,32861.7,33367.65,505.95,33038.4,1.53
2021-05-06,Thursday,33107.85,134.2,0.41,"MEDIUM GAP UP","NOT FILL",-452.85,-337.44,32655,33144.4,489.4,32953.75,1.49
2021-05-05,Wednesday,32730,307.5,0.95,"BIG GAP UP","NOT FILL",-595.3,-193.62,32134.7,33060.7,926,32973.65,2.81
2021-05-04,Tuesday,32755.05,99.2,0.3,"FLAT UP","NOT FILL",-438.55,-442.09,32316.5,33206,889.5,32422.55,2.74
2021-05-03,Monday,32350,-543.6,-1.65,"BIG GAP DOWN","GAP FILL UP",407.65,75,31625,32757.65,1132.65,32655.85,3.47
2021-04-30,Friday,33197.65,-516.8,-1.53,"BIG GAP DOWN","GAP FILL UP",402,77.78,32812.1,33599.65,787.55,32893.55,2.39
2021-04-29,Thursday,33902.25,206.1,0.61,"MEDIUM GAP UP","NOT FILL",-630.45,-305.97,33271.8,34298.85,1027.05,33714.5,3.05
