Date,Open,High,Low,Close,Volume
11/13/2020,28127.75,28567.95,27712.4,28511.9,7.7
11/12/2020,28655.35,28680.25,28085.6,28316.3,7.74
11/11/2020,28698.25,28999,28165,28815.7,11.02
11/10/2020,28000,28796.65,27832.3,28640.05,10.13
11/9/2020,27050,27594.35,27021.6,27523.15,7.46
11/6/2020,26249.85,26845,26115.25,26749.2,7.92
11/5/2020,26177.15,26363.15,26001,26296.6,6.89
11/4/2020,25588,25913.7,25091.75,25795,9.87
11/3/2020,25110,25735,25070.45,25669.55,7.92
11/2/2020,24245.2,25163.45,24100.5,24931.2,10.19
10/30/2020,24049.95,24277,23565,23924.55,9.05
10/29/2020,23999.7,24341.3,23791,24092,6.73
10/28/2020,23698,24795,23698,24214.25,7.67
10/27/2020,24311,24797,23894.85,24741.4,7.85
10/26/2020,24519.95,24550,23850.1,24109.15,7.48
10/23/2020,24660,24789,24379.25,24537,6.36
10/22/2020,24500,24740,24307.85,24557.95,7.44
10/21/2020,24484,24880.65,24102.4,24664.95,9.68
10/20/2020,24165,24460.55,24086.35,24351.75,6.25
10/19/2020,23894.95,24409.8,23786.05,24346.7,7.45
10/16/2020,23201.2,23717,23183,23584.25,7.5
10/15/2020,23970,24140,22995.5,23110.3,9.05
10/14/2020,23369.1,24023.05,23212,23951.05,7.33
10/13/2020,23699,23840,23450,23562.2,6.32
10/12/2020,23935.4,24217,23588.4,23766.95,7.27
10/9/2020,23250.95,23965,23151,23903.15,9.58
10/8/2020,23179.95,23480,23060,23184.7,6.85
10/7/2020,22850,23109,22656.9,23018.85,7.26
10/6/2020,22723,22940.1,22542.8,22913.8,7.2
10/5/2020,22319.5,22840,22267.55,22425.15,8.32
10/1/2020,21676,22367.25,21665,22316,8.21
9/30/2020,21423.25,21580.6,21141.2,21464.25,8.32
9/29/2020,21763,21839.8,21312.65,21450.2,7.85
9/28/2020,21100.1,21765.9,21050,21724.5,7.79
9/25/2020,20710,21089,20431,20979.15,8.77
9/24/2020,20931.15,20979.8,20442.5,20456.85,6.19
9/23/2020,21350.9,21383.65,20830,21240.35,7.71
9/22/2020,21389,21516.65,20967.5,21183.65,9.25
9/21/2020,22025,22125,21290,21390.9,7.98
9/18/2020,22391.35,22520,21808.1,22078.4,7.15
9/17/2020,22340,22560.05,22300.05,22391.95,6.13
9/16/2020,22538,22748,22280,22671.3,6.66
9/15/2020,22195,22597,22084.05,22558.45,7.46
9/14/2020,22664.35,22820.5,22105,22190.15,7.52
9/11/2020,22450.55,22676,22226,22538.95,7.13
9/10/2020,22485,22725,22253.45,22506.6,7.65
9/9/2020,22500,22575,22128.95,22337.25,7.17
9/8/2020,22900,23092.95,22655,22748.85,6.07
9/7/2020,23016.35,23125.9,22721,22963.45,6.44
9/4/2020,23300,23440,22853.9,23026.65,8.19
9/3/2020,23938.8,24079.8,23452.95,23547.2,5.54
9/2/2020,23855,23974,23500.9,23920.95,7.18
9/1/2020,23850,24200,23508,23915.55,10.06
8/31/2020,24900.05,25270,23371,23743,12.61
8/28/2020,23679.9,24658.7,23601.5,24539.35,8.47
8/27/2020,23490,23716.15,23473.5,23600.35,4.02
8/26/2020,23150,23451.8,23070,23407.15,4.82
